tempStream expectedOffset: 330411, readIncrement: 1025
tempStream expectedOffset: 331436, readIncrement: 1025
tempStream expectedOffset: 331782, readIncrement: 1025
tempStream expectedOffset: 332807, readIncrement: 1025
tempStream expectedOffset: 333153, readIncrement: 1025
tempStream expectedOffset: 334178, readIncrement: 1025
tempStream expectedOffset: 334524, readIncrement: 1025
tempStream expectedOffset: 335549, readIncrement: 1025
tempStream expectedOffset: 335895, readIncrement: 1025
tempStream expectedOffset: 336920, readIncrement: 1025
tempStream expectedOffset: 337266, readIncrement: 1025
tempStream expectedOffset: 338291, readIncrement: 1025
tempStream expectedOffset: 338637, readIncrement: 1025
tempStream expectedOffset: 339662, readIncrement: 1025
tempStream expectedOffset: 340008, readIncrement: 1025
tempStream expectedOffset: 341033, readIncrement: 1025
tempStream expectedOffset: 341379, readIncrement: 1025
tempStream expectedOffset: 342404, readIncrement: 1025
tempStream expectedOffset: 342750, readIncrement: 1025
tempStream expectedOffset: 343775, readIncrement: 1025
tempStream expectedOffset: 344121, readIncrement: 1025
tempStream expectedOffset: 345146, readIncrement: 1025
tempStream expectedOffset: 345492, readIncrement: 1025
tempStream expectedOffset: 346517, readIncrement: 1025
tempStream expectedOffset: 346863, readIncrement: 1025
tempStream expectedOffset: 347888, readIncrement: 1025
tempStream expectedOffset: 348234, readIncrement: 1025
tempStream expectedOffset: 349259, readIncrement: 1025
tempStream expectedOffset: 349605, readIncrement: 1025
tempStream expectedOffset: 350630, readIncrement: 1025
tempStream expectedOffset: 350976, readIncrement: 1025
tempStream expectedOffset: 352001, readIncrement: 1025
tempStream expectedOffset: 352347, readIncrement: 1025
tempStream expectedOffset: 353372, readIncrement: 1025
tempStream expectedOffset: 353718, readIncrement: 1025
tempStream expectedOffset: 354743, readIncrement: 1025
tempStream expectedOffset: 355089, readIncrement: 1025
tempStream expectedOffset: 356114, readIncrement: 1025
tempStream expectedOffset: 356460, readIncrement: 1025
tempStream expectedOffset: 357485, readIncrement: 1025
tempStream expectedOffset: 357831, readIncrement: 1025
tempStream expectedOffset: 358856, readIncrement: 1025
tempStream expectedOffset: 359202, readIncrement: 1025
tempStream expectedOffset: 360227, readIncrement: 1025
tempStream expectedOffset: 360573, readIncrement: 1025
